Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
14-04-2014,0.069679353,0.408579803,-0.034249932,0.2565379,-0.318771771,-0.286981484,4.327400328,-0.373884626,-0.038047023,-0.433850964,-0.445250945,0.567858117,-0.376362125,-0.03734477,1.605513082,-0.095518163,-0.25647805,-0.278146993,-0.268236429,-0.295287464,-0.387496823,-0.333027025,-0.257762836
15-04-2014,0.120392184,0.409654641,0.004959507,0.220560547,-0.317601188,-0.241975106,1.948185687,-0.463141941,-0.107345275,-0.431251562,-0.445250945,0.768969454,-0.350300677,-0.037353884,1.594079981,0.013757491,-0.145761216,-0.277097983,-0.165054462,-0.22000529,-0.341711582,-0.257812257,-0.187222688
16-04-2014,0.150168904,0.410475927,0.028032885,0.315204692,-0.31645721,-0.036138541,-0.431028954,-0.405202982,0.387642239,-0.440449447,-0.445250945,0.472752047,-0.368313844,-0.037388017,1.285267452,-0.116326256,-0.213759044,-0.27613975,-0.191463945,-0.195612798,-0.276884998,-0.0903861,-0.054727837
17-04-2014,0.127412263,0.411435013,0.010696867,0.053504202,-0.315393044,-0.231610692,1.948185687,-0.173447145,0.004851895,-0.430566328,-0.440935965,0.624597708,-0.364906668,-0.037367509,1.60542744,-0.126597626,-0.2262463,-0.275198187,-0.222889872,-0.264298161,-0.282461718,-0.219984883,-0.15802005
18-04-2014,0.106696823,0.412294884,-0.005097043,-0.165643374,-0.314541711,-0.305043423,0.758578367,-0.272099968,0.476739991,-0.43467077,-0.440935965,0.451091982,-0.405908261,-0.037327628,1.684121618,-0.221909082,-0.337603237,-0.274405286,-0.328475551,-0.373098416,-0.345865987,-0.441233061,-0.315677493
19-04-2014,0.134170296,0.413193338,0.016235023,-0.174090338,-0.313690378,-0.33013247,3.137793007,-0.196935912,0.229246234,-0.433074598,-0.440935965,0.552812567,-0.390472336,-0.03728983,1.904489984,-0.201653808,-0.33671129,-0.273611195,-0.330074543,-0.359245114,-0.38516202,-0.50494174,-0.352355833
20-04-2014,0.134570261,0.414130376,0.01672153,-0.279710103,-0.312892254,-0.391661893,-0.431028954,-0.173447145,0.1830474,-0.431478426,-0.440935965,0.606286838,-0.423163926,-0.037254349,2.447331864,-0.081001147,-0.41321934,-0.272919242,-0.396699179,-0.413888695,-0.462931564,-0.539704029,-0.376402167
21-04-2014,0.129481049,0.415105998,0.012983348,-0.225150129,-0.312014317,-0.357359029,0.758578367,-0.403637064,0.034551146,-0.429882255,-0.440935965,0.650225055,-0.412482912,-0.037368392,2.053657897,-0.219399286,-0.323321594,-0.272107275,-0.295032596,-0.38812972,-0.331156783,-0.204925661,-0.146616693
22-04-2014,0.125109015,0.415954844,0.009771779,-0.261458723,-0.310950151,-0.124052828,1.948185687,-0.445916845,0.311744153,-0.435126819,-0.440935965,0.468895866,-0.363147182,-0.037341292,1.135774972,-0.072178162,-0.162445868,-0.271080539,-0.150559031,-0.280224747,-0.303675264,-0.403701472,-0.284942747
23-04-2014,0.116792497,0.416919443,0.003536518,-0.292130418,-0.309912589,-0.244344182,0.758578367,-0.325341173,0.123648898,-0.430338304,-0.440935965,0.611161239,-0.377829344,-0.037359208,1.413738034,-0.164664715,-0.174460917,-0.270069843,-0.151144283,-0.256287748,-0.323373579,-0.274376292,-0.200075398
24-04-2014,0.122723016,0.417729705,0.00826357,-0.283179343,-0.308901631,-0.142732679,1.948185687,-0.281495474,0.456940491,-0.43672299,-0.440935965,0.411749164,-0.379072034,-0.037336026,1.196154753,-0.188524366,-0.221555709,-0.269122018,-0.202301553,-0.268947342,-0.394734877,-0.434126794,-0.306443239
25-04-2014,0.077968287,0.418633671,-0.026117494,0.202401794,-0.307731049,-0.105951637,-0.431028954,-0.232952022,0.2028469,-0.432846574,-0.440935965,0.457996411,-0.376238715,-0.037366975,0.9971433,-0.033497444,-0.112643755,-0.268028796,-0.100791734,-0.186298729,-0.398600364,-0.252210804,-0.2030958
26-04-2014,0.084491858,0.419614805,-0.020908195,-0.253828232,-0.306853112,-0.364440923,1.948185687,-0.350395858,0.018051562,-0.42965423,-0.440935965,0.568332565,-0.426557406,-0.037321502,1.854881313,-0.176666407,-0.318326692,-0.267210161,-0.29518936,-0.286790144,-0.461597354,-0.420428189,-0.308362759
27-04-2014,0.05169471,0.420535307,-0.046081962,-0.282534686,-0.306028383,-0.361115687,0.758578367,-0.361357283,0.242445901,-0.4321625,-0.440935965,0.42937372,-0.416825923,-0.037298931,1.943310765,-0.088038528,-0.402746835,-0.266504227,-0.378566827,-0.355302734,-0.517789262,-0.48528304,-0.357636809
28-04-2014,0.061211124,0.421450298,-0.03857478,-0.104262046,-0.305097238,-0.278151674,-0.431028954,-0.308116077,0.120348981,-0.432390525,-0.440935965,0.440504961,-0.403006811,-0.037353701,1.409099697,-0.17010445,-0.271641146,-0.265623267,-0.264829428,-0.308166952,-0.428702827,-0.326615856,-0.257025698
29-04-2014,0.062176557,0.422321192,-0.03768037,-0.199617194,-0.304112884,-0.215576854,0.758578367,-0.389543804,0.235846068,-0.434214721,-0.440935965,0.387393406,-0.405208486,-0.037351154,1.259142247,-0.09964219,-0.257779243,-0.264723801,-0.239768113,-0.295177517,-0.391748962,-0.356889587,-0.275460168
30-04-2014,0.063969505,0.423125942,-0.036156925,-0.234131065,-0.303155135,-0.161093129,1.948185687,-0.123337775,0.136848565,-0.432075568,-0.435802742,0.307965491,-0.400485082,-0.03735861,1.112576014,-0.144265709,-0.260507551,-0.263827977,-0.251556755,-0.289114734,-0.399770909,-0.350090199,-0.270580567
01-05-2014,0.079154391,0.424051956,-0.024253459,-0.241205238,-0.302197386,-0.279062111,-0.431028954,-0.272099968,0.133548648,-0.426324372,-0.435802742,0.487805174,-0.40719852,-0.037322511,1.579622015,-0.162602702,-0.292376286,-0.262974698,-0.266313459,-0.276675034,-0.433246491,-0.434145281,-0.318692194
