Open,High,Low,Close,Volume ,MarketCap
4.066798658,4.028793851,4.028653005,4.107907325,5.34312894,4.072030933
4.288584601,4.17454091,4.08384667,4.068801239,5.276736146,4.290100314
4.360021093,4.306157845,4.364811349,4.271034557,4.520839298,4.359819509
4.141194832,4.187292485,4.058028095,4.324161145,3.973269061,4.14366588
4.291734463,4.273153092,3.94943748,4.093993219,5.892470429,4.291448436
3.981633522,4.122845334,4.051554992,4.263279541,4.345134885,3.985410545
3.760477552,3.988735523,3.889899698,3.965527125,5.699851524,3.767000586
3.487794594,3.691807626,3.589503403,3.742629527,3.871178705,3.49794381
3.158770709,3.381404415,3.292208291,3.465896041,3.485006606,3.173394075
3.120758412,3.121467574,3.227415727,3.147491166,2.499956324,3.135554419
3.214136962,3.086211191,3.139056637,3.101611262,2.410128489,3.227099
3.154491651,3.157539597,3.259855081,3.193193744,2.962525877,3.167880966
2.96735419,3.057399524,3.056875299,3.144724895,2.436054963,2.983188248
3.020640346,2.937477276,3.025752717,2.949667331,1.701763509,3.035239949
2.592758339,2.933709243,2.680229294,2.995736381,3.338070458,2.613582856
2.484949856,2.484899745,2.518881657,2.573679099,1.501456197,2.507010262
2.369213229,2.386080781,2.446791469,2.46591275,1.117380405,2.392788849
2.390097408,2.327745196,2.426424576,2.354718117,1.682143475,2.412968108
2.561461786,2.510196113,2.447369864,2.363690765,2.129277823,2.581199546
2.433018735,2.473744989,2.490441844,2.549385566,1.225948487,2.454476075
2.38684057,2.323150033,2.397209467,2.409700706,0.924967821,2.408703785
2.485056832,2.380853783,2.456218079,2.373372713,1.115334705,2.504917125
2.33375648,2.482740019,2.440133772,2.470972425,2.237168546,2.355750971
2.166136278,2.248237401,2.255059627,2.30874364,1.086835049,2.190577641
2.212564055,2.153393251,2.158406104,2.140485803,1.375490907,2.235881636
2.426196015,2.334120983,2.195521844,2.196083119,2.392863638,2.445557184
2.396718061,2.344666881,2.464081792,2.406958079,1.237430489,2.416146837
2.486340549,2.407758459,2.408395875,2.378042273,1.639107865,2.503810246
2.320562719,2.442497885,2.413035343,2.47228463,1.842101253,2.340510096
2.522367839,2.414915424,2.368905023,2.303991328,2.45001088,2.538428601
1.846609523,2.486473588,1.935773193,2.48112724,3.928929341,1.874145019
1.909832602,1.908023074,1.923885326,1.837827393,1.974400233,1.935945771
1.803379154,1.897040637,1.806409577,1.891556886,2.494778815,1.831047687
1.44572124,1.716542663,1.520719288,1.784606232,1.890041872,1.479514225
1.516278148,1.519272347,1.410467325,1.431622971,1.853273772,1.548523882
1.799337821,1.717289377,1.59183728,1.513239785,1.484888168,1.826215734
1.954418007,1.869056098,1.829114664,1.790434316,1.268629846,1.978184563
2.004471097,1.94024665,2.023073943,1.937685044,1.177667242,2.026993676
1.9213504,1.938511976,1.94223399,1.986082964,1.725860337,1.945034952
1.984490275,1.926748361,1.968901698,1.913911665,2.139185162,2.006644129
2.150137356,2.068842266,1.998830571,1.955015613,1.713772994,2.16875935
2.206430739,2.181802842,2.240599748,2.127470143,0.578333594,2.223691775
2.144217993,2.108107927,2.209489472,2.190006781,0.978274753,2.162281269
2.249197544,2.504210914,2.217562392,2.12773022,1.336577839,2.264915927
2.248615117,2.160240043,2.319483003,2.234007038,1.03399526,2.264007719
2.242398597,2.167052371,2.266393711,2.226240201,1.383591957,2.257579306
2.192630777,2.177322559,2.291990773,2.225826442,1.469137641,2.208415424
2.118412897,2.135288312,2.194918837,2.181400605,1.427476212,2.135283351
