Date,Open,High,Low,Close,Volume,Market.Cap
02-06-2015,-0.586329232,-0.585533243,-0.583720471,-0.582633427,-0.377137763,-0.551316005
01-06-2015,-0.577607402,-0.579458017,-0.585098349,-0.586025199,-0.365384501,-0.543964624
31-05-2015,-0.574161447,-0.577689426,-0.574961105,-0.577445315,-0.389092843,-0.541098267
30-05-2015,-0.569455936,-0.573279432,-0.571873182,-0.573722639,-0.390412281,-0.537164384
29-05-2015,-0.569111341,-0.572785604,-0.567345869,-0.569279063,-0.388937984,-0.536941658
28-05-2015,-0.569253932,-0.572441073,-0.566214041,-0.568912704,-0.390973699,-0.537118278
27-05-2015,-0.569491584,-0.571499356,-0.566164831,-0.569066338,-0.380522969,-0.537370087
26-05-2015,-0.569444054,-0.57195873,-0.567395079,-0.569255427,-0.385556951,-0.537391366
25-05-2015,-0.564893017,-0.568766078,-0.566226343,-0.569267245,-0.389733361,-0.533600766
24-05-2015,-0.567210124,-0.56766358,-0.563556705,-0.564729125,-0.395819011,-0.53562729
23-05-2015,-0.565653503,-0.568754594,-0.563704335,-0.567187273,-0.389355395,-0.534356191
22-05-2015,-0.571559157,-0.5688235,-0.568170135,-0.565438206,-0.363480061,-0.539411506
21-05-2015,-0.573103895,-0.574255602,-0.569671038,-0.571359034,-0.388303727,-0.540789004
20-05-2015,-0.57563489,-0.576047162,-0.572131534,-0.572919013,-0.387488731,-0.542987892
19-05-2015,-0.57426839,-0.576655833,-0.572156139,-0.575365344,-0.390113206,-0.541887739
18-05-2015,-0.569693588,-0.573141619,-0.57136878,-0.573970817,-0.38481542,-0.538076568
17-05-2015,-0.570739257,-0.572199902,-0.5670014,-0.569633603,-0.396598944,-0.539029893
16-05-2015,-0.568802393,-0.572578886,-0.567887178,-0.570401775,-0.396692027,-0.537443856
15-05-2015,-0.56961041,-0.571373028,-0.566041806,-0.568688162,-0.385756474,-0.538197152
14-05-2015,-0.570501605,-0.572464042,-0.569400383,-0.569479969,-0.368884078,-0.539005776
13-05-2015,-0.564334535,-0.56568827,-0.56819474,-0.57012996,-0.363110443,-0.533869598
12-05-2015,-0.563443339,-0.566629988,-0.561969685,-0.564540036,-0.379592977,-0.533184396
11-05-2015,-0.565641621,-0.565033662,-0.562855463,-0.563299144,-0.376233441,-0.535103813
10-05-2015,-0.563942409,-0.565263349,-0.563507495,-0.565497296,-0.388491145,-0.533724188
09-05-2015,-0.561518358,-0.560979683,-0.562535599,-0.563689139,-0.37853296,-0.531734548
08-05-2015,-0.569325228,-0.562725305,-0.566681535,-0.56129008,-0.362556538,-0.538380866
07-05-2015,-0.57828471,-0.570971075,-0.576154445,-0.569007248,-0.359177801,-0.546001079
06-05-2015,-0.570454075,-0.574014431,-0.575342482,-0.577929854,-0.358086688,-0.539466124
05-05-2015,-0.567364598,-0.570856232,-0.571873182,-0.570437229,-0.369895466,-0.536922506
04-05-2015,-0.565570325,-0.566905612,-0.564786953,-0.567010003,-0.375542416,-0.535469821
03-05-2015,-0.572081991,-0.566216551,-0.569375778,-0.565426388,-0.381238621,-0.541013148
02-05-2015,-0.575100172,-0.574841305,-0.57151641,-0.571843573,-0.39367456,-0.543617058
01-05-2015,-0.570822436,-0.571120372,-0.571836275,-0.575211709,-0.380568259,-0.540076138
30-04-2015,-0.583002103,-0.570442795,-0.580558734,-0.570401775,-0.349255514,-0.550384669
29-04-2015,-0.583120929,-0.584821213,-0.582477921,-0.582621609,-0.380315307,-0.550537882
28-04-2015,-0.579104609,-0.58199606,-0.58292081,-0.582574337,-0.375029418,-0.547220398
27-04-2015,-0.590440612,-0.57762052,-0.589133563,-0.578508937,-0.339330723,-0.556815354
26-04-2015,-0.582146556,-0.584936056,-0.593008845,-0.590161506,-0.359429709,-0.549893111
25-04-2015,-0.576407259,-0.578481846,-0.578897899,-0.581936164,-0.390707391,-0.545136419
24-04-2015,-0.570786788,-0.574175212,-0.574481308,-0.576168969,-0.375072202,-0.540456333
23-04-2015,-0.573068247,-0.573991462,-0.570458397,-0.570035416,-0.384281759,-0.542426112
22-04-2015,-0.571226444,-0.572337714,-0.570113927,-0.572729925,-0.370064935,-0.540941507
21-04-2015,-0.584273542,-0.575369585,-0.581407605,-0.571441761,-0.367706352,-0.551969288
20-04-2015,-0.586661945,-0.585613634,-0.584261781,-0.584016135,-0.381508686,-0.554034824
19-04-2015,-0.585651923,-0.585613634,-0.583781984,-0.586415194,-0.388486136,-0.553250318
18-04-2015,-0.586376762,-0.587944959,-0.585615054,-0.585517024,-0.392832432,-0.553909275
17-04-2015,-0.579579914,-0.582673638,-0.584310991,-0.586084289,-0.377198705,-0.548253166
16-04-2015,-0.585105324,-0.581800826,-0.581875099,-0.579359835,-0.368066578,-0.552953113
15-04-2015,-0.590868386,-0.588507692,-0.588358507,-0.584961577,-0.372748682,-0.55783039
14-04-2015,-0.584107185,-0.587186991,-0.591224985,-0.590480593,-0.3536375,-0.552221096
13-04-2015,-0.570810553,-0.573451697,-0.584237176,-0.584063407,-0.354758667,-0.541133733
12-04-2015,-0.570121362,-0.572544433,-0.570089322,-0.570401775,-0.393982609,-0.540604581
11-04-2015,-0.570727375,-0.570465764,-0.569252754,-0.569929054,-0.385681757,-0.541180548
10-04-2015,-0.561613419,-0.565699754,-0.570987403,-0.570496319,-0.359558481,-0.533599347
09-04-2015,-0.560353863,-0.562909055,-0.562830858,-0.561502805,-0.374665644,-0.532604882
08-04-2015,-0.55047942,-0.554031645,-0.556901062,-0.55991919,-0.357044829,-0.524386004
07-04-2015,-0.547853365,-0.551780711,-0.54707138,-0.550275684,-0.381294346,-0.522256629
